OBJECTID,Prov_Cod,fecha,Muestras,Muestras_Acumulados,ConfirmadosFTM,Confirmados_AcumuladosFTM,Confirmados,Confirmados_Acumulados,Positividad_Dia,POSITIVIDAD_4sem,Positividad_Acum,Recuperados,Recuperados_Acumulados,Tasa_Recup,Muertes,Defunciones_Acumulados,Letalidad_Ac,Activos,Activos_INC_14D,CONFIRM_INC_14,FALLEC_INC_14
1,01,2020/01/01 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,01,2020/01/02 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,01,2020/01/03 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,01,2020/01/04 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,01,2020/01/05 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,01,2020/01/06 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,01,2020/01/07 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,01,2020/01/08 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,01,2020/01/09 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,01,2020/01/10 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,01,2020/01/11 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,01,2020/01/12 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,01,2020/01/13 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,01,2020/01/14 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,01,2020/01/15 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,01,2020/01/16 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,01,2020/01/17 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,01,2020/01/18 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,01,2020/01/19 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,01,2020/01/20 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,01,2020/01/21 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,01,2020/01/22 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,01,2020/01/23 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,01,2020/01/24 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,01,2020/01/25 00:00:00+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
